,No,Betweenness,Katz,Collective Influence,Degree
0,0,1.0,1.0,1.0,1.0
1,1,0.7640449438202247,0.8651685393258427,0.7640449438202247,0.7640449438202247
2,2,0.5730337078651686,0.8089887640449438,0.6179775280898876,0.6179775280898876
3,3,0.4269662921348315,0.696629213483146,0.4269662921348315,0.4269662921348315
4,4,0.348314606741573,0.6404494382022472,0.3707865168539326,0.3707865168539326
5,5,0.3370786516853933,0.5393258426966292,0.2921348314606742,0.3146067415730337
6,6,0.2359550561797753,0.5393258426966292,0.2134831460674157,0.2696629213483146
7,7,0.0898876404494382,0.5280898876404494,0.1348314606741573,0.1348314606741573
8,8,0.0898876404494382,0.5056179775280899,0.1348314606741573,0.1348314606741573
9,9,0.0786516853932584,0.4719101123595506,0.0898876404494382,0.1348314606741573
10,10,0.0561797752808989,0.449438202247191,0.0561797752808989,0.0561797752808989
11,11,0.0449438202247191,0.449438202247191,0.0449438202247191,0.0449438202247191
12,12,0.0449438202247191,0.4382022471910112,0.0449438202247191,0.0449438202247191
13,13,0.0337078651685393,0.4269662921348315,0.0449438202247191,0.0449438202247191
14,14,0.0337078651685393,0.4269662921348315,0.0449438202247191,0.0449438202247191
15,15,0.0337078651685393,0.4269662921348315,0.0449438202247191,0.022471910112359605
16,16,0.022471910112359605,0.4269662921348315,0.0449438202247191,0.022471910112359605
17,17,0.022471910112359605,0.4269662921348315,0.0449438202247191,0.022471910112359605
18,18,0.022471910112359605,0.4157303370786517,0.0449438202247191,0.022471910112359605
19,19,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.022471910112359605
20,20,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.022471910112359605
21,21,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.022471910112359605
22,22,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
23,23,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
24,24,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
25,25,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
26,26,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
27,27,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
28,28,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
29,29,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
30,30,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
31,31,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
32,32,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
33,33,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
34,34,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
35,35,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
36,36,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
37,37,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
38,38,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
39,39,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
40,40,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
41,41,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
42,42,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
43,43,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
44,44,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
45,45,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
46,46,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
47,47,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
48,48,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
49,49,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
50,50,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
51,51,0.022471910112359605,0.4044943820224719,0.0449438202247191,0.011235955056179803
52,52,0.022471910112359605,0.101123595505618,0.0449438202247191,0.011235955056179803
53,53,0.022471910112359605,0.0337078651685393,0.0449438202247191,0.011235955056179803
54,54,0.022471910112359605,0.0337078651685393,0.0449438202247191,0.011235955056179803
55,55,0.022471910112359605,0.022471910112359605,0.0449438202247191,0.011235955056179803
56,56,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
57,57,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
58,58,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
59,59,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
60,60,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
61,61,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
62,62,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
63,63,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
64,64,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
65,65,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
66,66,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
67,67,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
68,68,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
69,69,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
70,70,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
71,71,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
72,72,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
73,73,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
74,74,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
75,75,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
76,76,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
77,77,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
78,78,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
79,79,0.022471910112359605,0.011235955056179803,0.0449438202247191,0.011235955056179803
80,80,0.022471910112359605,0.011235955056179803,0.0337078651685393,0.011235955056179803
81,81,0.022471910112359605,0.011235955056179803,0.0337078651685393,0.011235955056179803
82,82,0.022471910112359605,0.011235955056179803,0.022471910112359605,0.011235955056179803
83,83,0.022471910112359605,0.011235955056179803,0.022471910112359605,0.011235955056179803
84,84,0.022471910112359605,0.011235955056179803,0.022471910112359605,0.011235955056179803
85,85,0.022471910112359605,0.011235955056179803,0.022471910112359605,0.011235955056179803
86,86,0.022471910112359605,0.011235955056179803,0.011235955056179803,0.011235955056179803
87,87,0.022471910112359605,0.011235955056179803,0.011235955056179803,0.011235955056179803
88,88,0.022471910112359605,0.011235955056179803,0.011235955056179803,0.011235955056179803
