No. edges,Dist. A,Err. A,Dist. LA,Err. LA,Dist. NLA,Err. NLA,S,Err. S,Sim.
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
255,19.077,3.961,0.803,0.176,0.087,0.086,0.06,0.007,0.943
254,19.661,3.03,1.236,0.22,0.095,0.069,0.086,0.01,0.921
253,19.947,2.71,1.567,0.218,0.136,0.081,0.106,0.011,0.904
252,20.3,2.872,1.831,0.219,0.156,0.086,0.12,0.008,0.893
251,20.29,2.346,2.133,0.222,0.192,0.086,0.135,0.01,0.881
250,20.63,2.548,2.409,0.232,0.206,0.088,0.147,0.01,0.872
249,20.902,2.753,2.667,0.265,0.226,0.089,0.161,0.013,0.861
248,20.818,2.794,2.964,0.295,0.253,0.092,0.171,0.014,0.854
247,20.646,2.563,3.22,0.297,0.264,0.085,0.181,0.011,0.847
246,20.354,2.566,3.501,0.341,0.271,0.09,0.194,0.019,0.838
245,20.956,2.828,3.747,0.354,0.328,0.131,0.203,0.022,0.831
244,20.949,2.74,4.0,0.362,0.331,0.103,0.214,0.021,0.824
243,21.279,2.507,4.256,0.369,0.335,0.09,0.223,0.022,0.818
242,21.777,2.634,4.437,0.357,0.334,0.098,0.228,0.02,0.814
241,20.838,2.486,4.704,0.331,0.367,0.091,0.236,0.016,0.809
240,21.928,2.517,5.014,0.42,0.377,0.107,0.253,0.028,0.798
239,21.201,2.88,5.178,0.417,0.392,0.113,0.253,0.021,0.798
238,21.874,2.505,5.478,0.398,0.419,0.11,0.262,0.021,0.792
237,21.734,2.644,5.72,0.439,0.44,0.097,0.273,0.027,0.786
236,21.756,2.461,5.986,0.437,0.461,0.108,0.279,0.025,0.782
235,22.095,2.546,6.24,0.458,0.456,0.12,0.284,0.022,0.779
234,21.793,2.56,6.409,0.417,0.46,0.113,0.287,0.019,0.777
233,21.725,2.607,6.647,0.466,0.501,0.12,0.298,0.024,0.77
232,21.917,2.68,7.04,0.533,0.501,0.111,0.311,0.029,0.763
231,22.135,2.646,7.126,0.473,0.533,0.112,0.314,0.033,0.761
230,22.016,2.824,7.398,0.48,0.528,0.112,0.32,0.032,0.758
229,21.985,2.668,7.679,0.474,0.552,0.121,0.332,0.035,0.751
228,22.309,2.876,7.866,0.455,0.587,0.122,0.335,0.038,0.749
227,22.674,2.051,8.128,0.387,0.568,0.13,0.334,0.023,0.75
226,22.495,2.658,8.434,0.472,0.603,0.124,0.345,0.034,0.743
225,22.294,2.54,8.56,0.464,0.611,0.126,0.349,0.027,0.741
224,22.998,2.569,8.866,0.462,0.672,0.141,0.36,0.035,0.735
223,22.199,2.678,9.173,0.5,0.654,0.134,0.368,0.044,0.731
222,22.497,2.451,9.438,0.518,0.656,0.131,0.378,0.042,0.726
221,22.896,2.368,9.665,0.523,0.693,0.137,0.38,0.034,0.725
220,22.639,2.706,9.841,0.548,0.721,0.166,0.387,0.033,0.721
219,22.438,2.629,10.141,0.557,0.743,0.14,0.401,0.046,0.714
